X,Y,Z,Settlement_carga_mm
4.5,4.25,-1.6,6.790072470465688
4.25,3.75,-1.6,6.9040342619947666
4.25,3.75,-1.2000000000000002,6.90405273844398
4.25,4.5,-1.6,6.790193061177547
4.25,4.5,-1.2000000000000002,6.790178927260612
0.0,0.0,-1.5,40.92515346300705
0.0,1.5,0.0,16.982280273839564
0.0,3.0,0.0,10.968018861449508
0.0,4.5,-1.5,8.409694385800165
4.5,0.0,-1.5,7.639512010835418
1.5,0.0,0.0,21.35916887162881
3.0,0.0,0.0,10.223464659569373
1.4454051294351817,4.5,0.0,7.900149365003287
2.854943045213809,4.5,0.0,7.019544658460205
4.5,1.3566387154160202,0.0,7.1922045897483144
4.5,2.673961163281544,0.0,6.76252799067808
4.5,4.5,-2.388633289041375,6.902663128199507
4.5,4.5,-1.9356983878079541,6.854639210562198
4.0,4.5,-1.3021165911712198,6.6161078695036935
4.0,4.5,-0.9867085156116657,6.430951292420062
4.0,4.5,-0.5680869721235369,6.29189787204939
4.5,3.75,-1.3021165911712198,6.603511233445772
4.5,3.75,-0.9867085156116657,6.374769389059011
4.5,3.75,-0.5680869721235369,6.2357368701167815
4.0,3.75,-1.3021165911712198,6.859993201340217
4.0,3.75,-0.9867085156116657,6.78207159678594
4.0,3.75,-0.5680869721235369,6.699210067397061
0.0,2.322023904108364,-11.64919880691417,2.7151561938607287
0.0,2.322023904108364,-4.350801193085832,8.011368525904274
0.0,1.327949058080303,-8.0,5.1926136201742
0.0,1.5653200825826594,-9.949885543844882,3.775192393541559
0.0,1.5653200825826594,-6.05011445615512,6.6939659365768165
0.0,3.322334757386339,-10.266514058459842,3.5722843151215073
0.0,3.322334757386339,-5.733485941540159,6.555594784523933
0.0,3.0799449391597546,-8.0,5.012312163971586
0.0,1.0774687973382047,-4.28018312984819,9.00965871135844
0.0,1.0774687973382047,-11.71981687015181,2.5274036333542895
0.0,3.5288717322989407,-4.216857426925198,7.477010639735525
0.0,3.5288717322989407,-11.783142573074802,2.552846903081928
4.5,2.3932401666186545,-4.2537101627715685,6.837323651092021
4.5,2.25,-11.700961894323342,2.8244021120982623
4.5,3.0464677256561767,-8.846232063228044,4.478105413288731
4.5,1.6135072108843125,-5.845221019555483,6.268189889797739
4.5,3.0757044623921885,-7.039885635602893,5.499381549716958
4.5,1.5342818410841952,-10.136942715992586,3.701028373220808
4.5,1.4969866155182456,-7.940936702931137,5.045990805877992
4.5,3.2116621144345645,-10.584243731033524,3.4422164616124036
4.5,3.27296941006669,-5.359778318409632,6.242853074614075
4.5,1.122285555531046,-4.21978623646541,7.160544039055424
4.5,1.056856368216839,-11.767580922063186,2.637670071311682
4.5,3.4970546711584873,-4.073138817365461,6.639061503230252
4.5,3.4392231198670187,-11.88038900972603,2.6191949222127064
2.322023904108364,0.0,-4.350801193085832,7.926112080380207
2.322023904108364,0.0,-11.64919880691417,2.718880249006027
1.327949058080303,0.0,-8.0,5.145249599552869
1.5653200825826594,0.0,-9.949885543844882,3.7585426596590565
1.5653200825826594,0.0,-6.05011445615512,6.740774997727769
3.322334757386339,0.0,-10.266514058459842,3.575857033883139
3.322334757386339,0.0,-5.733485941540159,6.521642342134243
3.0799449391597546,0.0,-8.0,5.006825863632002
1.0774687973382047,0.0,-4.28018312984819,8.826363290468421
1.0774687973382047,0.0,-11.71981687015181,2.5253872395046457
3.5288717322989407,0.0,-4.216857426925198,7.405262571325892
3.5288717322989407,0.0,-11.783142573074802,2.5574874170334
2.364690406477663,4.5,-4.28307174551313,6.863358252312494
2.25,4.5,-11.700961894323342,2.8104982999511847
3.0464648891477695,4.5,-8.846232063228044,4.457390000990074
1.6069463548560723,4.5,-5.848691777953468,6.282273175341089
3.073886689612161,4.5,-7.040464095335892,5.475737276573966
1.5342790045757884,4.5,-10.136942715992586,3.685576285000181
1.4969695964678056,4.5,-7.94093670293114,5.04294199342219
