X,Y,Z,Settlement_mm
1.5,0.0,-1.5384615384615385,12.889304472182994
3.0,0.0,-1.5384615384615385,7.759968827540687
4.5,0.0,-1.5384615384615385,5.085602435646442
6.0,0.0,-1.5384615384615385,3.9383988051766963
7.5,0.0,-1.5384615384615385,3.2561257892125366
9.0,0.0,-1.5384615384615385,2.7407861999923657
0.0,1.5,-1.5384615384615385,12.889304472183
1.5,1.5,-1.5384615384615385,10.728691049966448
3.0,1.5,-1.5384615384615385,7.076429634738204
4.5,1.5,-1.5384615384615385,4.9068974767525395
6.0,1.5,-1.5384615384615385,3.84198336487561
7.5,1.5,-1.5384615384615385,3.2005898917236952
9.0,1.5,-1.5384615384615385,2.7040105852167025
0.0,3.0,-1.5384615384615385,7.759968827540686
1.5,3.0,-1.5384615384615385,7.076429634738209
3.0,3.0,-1.5384615384615385,5.656520067958678
4.5,3.0,-1.5384615384615385,4.412748424512785
6.0,3.0,-1.5384615384615385,3.588666355592374
7.5,3.0,-1.5384615384615385,3.045811289812448
9.0,3.0,-1.5384615384615385,2.6006976788567058
0.0,4.5,-1.5384615384615385,5.085602435646445
1.5,4.5,-1.5384615384615385,4.906897476752537
3.0,4.5,-1.5384615384615385,4.412748424512788
4.5,4.5,-1.5384615384615385,3.7927597263603006
6.0,4.5,-1.5384615384615385,3.250874730418813
7.5,4.5,-1.5384615384615385,2.824285248425773
9.0,4.5,-1.5384615384615385,2.4470848798938003
0.0,6.0,-1.5384615384615385,3.9383988051766945
1.5,6.0,-1.5384615384615385,3.841983364875607
3.0,6.0,-1.5384615384615385,3.588666355592373
4.5,6.0,-1.5384615384615385,3.250874730418813
6.0,6.0,-1.5384615384615385,2.898984983367762
7.5,6.0,-1.5384615384615385,2.5727305714970075
9.0,6.0,-1.5384615384615385,2.259586049059121
0.0,7.5,-1.5384615384615385,3.25612578921253
1.5,7.5,-1.5384615384615385,3.2005898917236904
3.0,7.5,-1.5384615384615385,3.045811289812439
4.5,7.5,-1.5384615384615385,2.8242852484257757
6.0,7.5,-1.5384615384615385,2.5727305714970066
7.5,7.5,-1.5384615384615385,2.3130160445081835
9.0,7.5,-1.5384615384615385,2.0461879787602233
0.0,9.0,-1.5384615384615385,2.7407861999923604
1.5,9.0,-1.5384615384615385,2.704010585216698
3.0,9.0,-1.5384615384615385,2.6006976788567013
4.5,9.0,-1.5384615384615385,2.447084879893799
6.0,9.0,-1.5384615384615385,2.2595860490591235
7.5,9.0,-1.5384615384615385,2.0461879787602233
9.0,9.0,-1.5384615384615385,1.802939017032254
0.0,0.0,-3.076923076923077,10.134038693851243
1.5,0.0,-3.076923076923077,9.126734965842456
3.0,0.0,-3.076923076923077,6.9529717959536415
4.5,0.0,-3.076923076923077,5.0451150164458065
6.0,0.0,-3.076923076923077,3.900273498600093
7.5,0.0,-3.076923076923077,3.2434468581815876
9.0,0.0,-3.076923076923077,2.795899118317195
0.0,1.5,-3.076923076923077,9.126734965842447
1.5,1.5,-3.076923076923077,8.270005306718293
3.0,1.5,-3.076923076923077,6.4467108812928045
4.5,1.5,-3.076923076923077,4.831862537530625
6.0,1.5,-3.076923076923077,3.805520212411635
7.5,1.5,-3.076923076923077,3.1857471153763095
9.0,1.5,-3.076923076923077,2.75564893891503
0.0,3.0,-3.076923076923077,6.952971795953647
